,Japan,India,China,United Kingdom,Australia,South africa,Russia,Netherlands,United States,New Zealand,Malaysia,Brazil,Philippines,Portugal,Canada(4),German(10),Indonesia(4),Ireland(8),Turkey(1),Nigeria(0),France,Singapore,Holy See,Spain,Iran,Mexico
None,5,3,,3,2,5,15,,6,,16,2,9,8,2,10,1,8,,,,,,,,
High school diploma,2,2,8,,,,,,4,,,,,,,,,,,,,,,,,
college degree,,,35（journalism*1/language*3/computer*2/marketing*1/law*1statictics*1/map*1),,,,,,,,,,,,,,,,,,2,,,,,
Bachelor degree,1,30(english*1/engineering*3/computer*3,8（journalism*2/,4,1,,2,,20,,,,,,2,,3,,,,,,,2,,1
,,,,,,,,,,,,,,,,,,,1,,,,,,,
